ax,ay,az,gx,gy,gz,mx,my,mz
-696.0,5280.0,15120.0,2261.0,-1235.0,1351.0,-124.0,-209.0,-348.0
-864.0,5840.0,12416.0,2580.0,-783.0,1645.0,-114.0,-218.0,-337.0
696.0,6872.0,15096.0,-448.0,-957.0,-3463.0,-114.0,-218.0,-349.0
-232.0,5968.0,15000.0,1610.0,59.0,117.0,-118.0,-212.0,-335.0
-136.0,6336.0,15168.0,-618.0,2087.0,-561.0,-112.0,-223.0,-334.0
-392.0,5712.0,15272.0,-2394.0,302.0,253.0,-117.0,-228.0,-332.0
1024.0,5640.0,15592.0,-4742.0,921.0,-813.0,-117.0,-221.0,-339.0
4568.0,9264.0,14944.0,-4395.0,-225.0,-774.0,-114.0,-216.0,-339.0
-1000.0,4752.0,15384.0,-5556.0,330.0,533.0,-117.0,-211.0,-337.0
-160.0,4936.0,15568.0,-1668.0,-1584.0,989.0,-109.0,-208.0,-332.0
-72.0,4888.0,15008.0,-3387.0,162.0,1355.0,-121.0,-207.0,-338.0
-528.0,4768.0,18584.0,-3292.0,1613.0,4442.0,-128.0,-211.0,-334.0
48.0,4352.0,15232.0,-3843.0,1141.0,1649.0,-120.0,-203.0,-334.0
-792.0,2384.0,15552.0,-6704.0,-1306.0,-2846.0,-121.0,-202.0,-340.0
-9168.0,-15128.0,18288.0,-32768.0,3164.0,2582.0,-120.0,-181.0,-369.0
-392.0,440.0,16416.0,-647.0,206.0,-53.0,-126.0,-155.0,-373.0
48.0,256.0,16232.0,-1312.0,295.0,1763.0,-122.0,-154.0,-367.0
-1264.0,528.0,15952.0,-1128.0,994.0,2837.0,-117.0,-161.0,-372.0
1920.0,216.0,16344.0,-169.0,-473.0,717.0,-120.0,-151.0,-374.0
-232.0,64.0,16344.0,-15.0,-427.0,162.0,-117.0,-149.0,-374.0
-432.0,176.0,16408.0,-347.0,657.0,-358.0,-122.0,-159.0,-359.0
-320.0,168.0,16304.0,-45.0,-278.0,347.0,-126.0,-162.0,-373.0
-328.0,-32.0,16056.0,-132.0,-57.0,337.0,-128.0,-163.0,-369.0
-152.0,-24.0,16488.0,197.0,-481.0,-137.0,-125.0,-163.0,-372.0
-280.0,144.0,16392.0,-43.0,-214.0,-133.0,-125.0,-151.0,-364.0
-368.0,-24.0,16520.0,142.0,17.0,-168.0,-134.0,-162.0,-366.0
240.0,336.0,16432.0,347.0,-171.0,-3509.0,-121.0,-157.0,-371.0
-3160.0,9544.0,17096.0,-323.0,54.0,-5295.0,-128.0,-161.0,-369.0
-472.0,-1464.0,16416.0,-453.0,453.0,-624.0,-124.0,-157.0,-373.0
24.0,136.0,16128.0,1382.0,-849.0,-1243.0,-125.0,-168.0,-364.0
-176.0,160.0,16440.0,-23.0,-262.0,297.0,-121.0,-165.0,-371.0
-320.0,296.0,15824.0,-1803.0,661.0,-308.0,-118.0,-152.0,-371.0
120.0,168.0,16544.0,-412.0,1639.0,1219.0,-114.0,-163.0,-372.0
72.0,176.0,16096.0,507.0,-3397.0,-275.0,-117.0,-168.0,-369.0
-264.0,168.0,16144.0,36.0,-857.0,-197.0,-118.0,-162.0,-371.0
-216.0,160.0,16352.0,-300.0,312.0,-331.0,-118.0,-162.0,-376.0
-264.0,40.0,16256.0,-671.0,450.0,-366.0,-114.0,-163.0,-372.0
-232.0,48.0,16248.0,-657.0,694.0,-285.0,-121.0,-170.0,-373.0
-376.0,-72.0,16544.0,-391.0,325.0,-310.0,-126.0,-170.0,-378.0
-176.0,160.0,16592.0,-370.0,220.0,-321.0,-122.0,-161.0,-384.0
-144.0,232.0,16376.0,4.0,-9.0,352.0,-120.0,-159.0,-387.0
-384.0,208.0,16336.0,81.0,75.0,281.0,-113.0,-167.0,-393.0
-240.0,232.0,16384.0,-333.0,200.0,-153.0,-112.0,-159.0,-392.0
-408.0,112.0,16504.0,81.0,-287.0,156.0,-108.0,-165.0,-398.0
-264.0,-24.0,16304.0,-139.0,233.0,-90.0,-116.0,-167.0,-388.0
-160.0,192.0,16352.0,-645.0,267.0,-280.0,-114.0,-173.0,-389.0
-248.0,128.0,16400.0,214.0,194.0,115.0,-120.0,-166.0,-384.0
