n,gx,gy,gz,ax,ay,az,mx,my,mz,q0,q1,q3,q4
204,-0.03,0.023,-0.025,-0.455,0.062,9.925,0.773,-2.98,-91.339,0.985,0.006,0.023,-0.163
205,-0.019,0.009,0.034,-0.637,0.029,9.848,1.308,-4.465,-93.087,0.985,0.006,0.023,-0.163
206,0.043,-0.013,0.053,-0.527,-0.077,9.82,2.171,-4.159,-93.195,0.985,0.006,0.023,-0.163
207,0.009,-0.002,0.086,-0.445,0.062,9.963,-0.282,-5.247,-93.16,0.985,0.006,0.023,-0.162
208,-0.015,0.055,0.013,-0.498,-0.043,9.891,0.675,-2.714,-93.946,0.985,0.006,0.023,-0.162
209,0.023,-0.07,-0.006,-0.465,-0.096,10.002,0.918,-4.756,-91.947,0.985,0.006,0.023,-0.162
210,0.028,0.023,0.011,-0.474,0,10.04,0.918,-4.756,-91.947,0.985,0.007,0.023,-0.162
211,-0.04,-0.025,-0.05,-0.34,-0.192,9.863,0.731,-3.004,-92.5,0.985,0.006,0.023,-0.163
212,-0.013,-0.043,0.021,-0.57,0.005,9.987,0.996,-3.023,-93.216,0.985,0.006,0.022,-0.163
213,0.065,-0.039,0.058,-0.513,0.024,9.762,0.996,-3.023,-93.216,0.985,0.007,0.022,-0.162
214,0.018,-0.022,0.015,-0.426,0.053,9.867,0.401,-3.669,-93.83,0.985,0.007,0.022,-0.162
215,0.032,0.011,0.067,-0.46,-0.072,9.858,1.635,-2.514,-91.444,0.985,0.007,0.022,-0.162
216,-0.016,0.015,-0.004,-0.441,0.105,9.853,1.492,-4.606,-92.069,0.985,0.007,0.022,-0.162
217,-0.009,0.067,-0.013,-0.493,0.024,9.949,0.87,-2.849,-92.637,0.985,0.007,0.022,-0.162
218,-0.037,0.015,0.02,-0.402,0.096,9.834,0.996,-3.023,-93.216,0.985,0.007,0.023,-0.162
219,0.043,0.013,-0.001,-0.465,0.067,9.877,2.469,-2.869,-92.58,0.985,0.007,0.023,-0.162
220,-0.012,-0.016,0.019,-0.445,0.043,9.848,2.469,-2.869,-92.58,0.985,0.007,0.023,-0.162
221,0.05,0.022,0.015,-0.388,0.014,9.93,1.035,-4.129,-92.511,0.985,0.007,0.023,-0.162
222,-0.001,-0.013,-0.001,-0.532,0.062,9.958,1.035,-4.129,-92.511,0.985,0.007,0.023,-0.162
223,-0.012,0.023,0,-0.536,0,9.973,-0.132,-3.795,-92.547,0.985,0.007,0.023,-0.162
224,-0.015,0.009,0.013,-0.508,0.077,9.872,0.255,-4.15,-93.989,0.985,0.007,0.023,-0.162
225,0.027,0.037,-0.027,-0.436,0.072,9.944,3.173,-3.213,-93.285,0.985,0.007,0.023,-0.162
226,0.051,-0.013,0.043,-0.426,0.043,9.92,1.59,-3.668,-93.062,0.985,0.008,0.023,-0.162
227,0.026,-0.005,-0.009,-0.536,-0.019,9.901,1.563,-3.683,-93.788,0.985,0.008,0.023,-0.162
228,-0.039,0.052,-0.005,-0.489,0.067,9.987,3.029,-3.855,-93.448,0.985,0.008,0.023,-0.162
229,0.017,0.037,-0.01,-0.536,0.034,10.035,0.7,-4.957,-93.988,0.985,0.008,0.023,-0.162
230,-0.031,0.066,0.031,-0.546,-0.029,9.844,1.286,-2.543,-93.051,0.985,0.008,0.024,-0.162
231,0.013,0.021,0.03,-0.575,-0.019,9.954,1.838,-2.728,-93.904,0.985,0.008,0.024,-0.161
