gx,gy,gz,ax,ay,az,mx,my,mz,q0,q1,q2,q3
-0.066,0.052,-0.0,0.024,0.01,10.198,-11.7,4.65,-27.38,0.839,-0.021,-0.136,0.523
0.024,0.018,0.11,-0.077,0.11,10.222,-10.05,4.95,-26.63,0.839,-0.021,-0.136,0.524
0.003,0.052,0.043,-0.129,0.014,10.107,-10.05,4.95,-26.63,0.839,-0.021,-0.135,0.524
-0.047,0.046,-0.013,-0.134,0.105,10.121,-11.25,4.2,-25.88,0.839,-0.021,-0.135,0.524
-0.039,0.044,-0.038,0.043,0.057,10.227,-10.5,4.2,-26.63,0.839,-0.021,-0.135,0.524
-0.054,0.056,-0.076,-0.163,0.11,10.05,-10.05,4.95,-26.63,0.839,-0.021,-0.135,0.523
-0.01,-0.031,-0.018,-0.038,0.048,10.093,-10.65,3.75,-27.23,0.839,-0.021,-0.135,0.523
-0.005,-0.015,0.038,0.062,-0.01,10.275,-11.1,3.75,-27.68,0.839,-0.021,-0.135,0.524
0.012,-0.033,0.057,-0.096,0.086,10.097,-11.1,4.8,-26.93,0.839,-0.021,-0.135,0.524
-0.046,0.048,-0.006,-0.68,0.038,10.179,-11.1,4.8,-26.93,0.839,-0.021,-0.135,0.524
-0.051,0.021,-0.069,-0.067,0.057,10.16,-11.25,4.2,-25.88,0.839,-0.021,-0.135,0.524
0.001,-0.007,0.037,-0.014,0.072,10.169,-11.25,4.2,-25.88,0.839,-0.021,-0.136,0.524
0.029,-0.013,0.023,-0.22,0.072,10.059,-10.8,4.95,-27.08,0.839,-0.021,-0.135,0.524
-0.102,0.034,-0.006,0.014,0.211,9.858,-10.2,4.8,-25.43,0.839,-0.021,-0.136,0.524
-0.062,0.042,0.013,-0.038,0.014,10.078,-11.1,4.8,-25.73,0.839,-0.021,-0.136,0.524
0.02,-0.088,0.119,0.081,0.153,10.083,-12.0,3.45,-27.08,0.838,-0.021,-0.136,0.525
-0.021,0.001,0.144,0.172,0.11,10.217,-11.7,3.9,-26.63,0.838,-0.021,-0.136,0.525
-0.054,-0.014,-0.017,0.081,0.172,9.834,-9.9,4.8,-26.93,0.838,-0.021,-0.136,0.525
0.033,-0.018,0.042,-0.235,-0.225,10.073,-9.9,4.8,-26.93,0.838,-0.02,-0.136,0.525
0.019,0.077,0.052,-0.163,0.081,10.026,-11.25,3.45,-26.63,0.838,-0.02,-0.136,0.526
-0.061,-0.007,-0.074,-0.129,0.096,10.045,-11.25,5.4,-25.88,0.838,-0.021,-0.136,0.525
-0.057,0.042,-0.037,-0.053,-0.043,9.915,-11.25,5.4,-25.88,0.838,-0.021,-0.136,0.525
0.013,0.034,0.014,-0.11,0.105,9.963,-9.45,3.75,-27.68,0.838,-0.021,-0.136,0.525
0.016,-0.027,0.012,-0.043,0.096,10.169,-11.1,5.1,-25.73,0.838,-0.02,-0.136,0.525
-0.044,0.049,-0.021,-0.091,0.22,9.872,-9.6,3.9,-25.58,0.838,-0.02,-0.136,0.525
-0.068,0.089,0.003,-0.019,0.129,9.872,-10.5,3.9,-25.58,0.838,-0.021,-0.136,0.525
0.016,-0.038,0.026,0.091,0.043,9.939,-10.8,3.45,-26.33,0.838,-0.02,-0.136,0.525
-0.006,-0.049,0.017,0.024,0.105,9.963,-10.8,3.9,-25.58,0.838,-0.02,-0.136,0.526
0.021,-0.035,0.027,-0.067,0.081,9.891,-10.8,3.9,-25.58,0.837,-0.02,-0.136,0.526
-0.014,-0.054,0.043,-0.072,0.005,9.882,-11.25,3.9,-26.63,0.837,-0.02,-0.137,0.526
-0.038,0.043,-0.065,0.062,0.053,10.021,-11.25,3.9,-26.63,0.837,-0.02,-0.136,0.526
-0.022,0.03,0.026,-0.139,0.029,9.887,-11.25,3.9,-24.83,0.837,-0.02,-0.137,0.526
-0.102,0.055,-0.027,0.067,0.144,9.982,-11.7,2.4,-27.08,0.837,-0.02,-0.137,0.526
-0.01,-0.015,0.021,0.019,0.216,9.939,-10.2,4.05,-26.18,0.837,-0.02,-0.137,0.526
-0.033,0.018,-0.03,-0.043,0.096,9.973,-9.9,4.8,-26.18,0.837,-0.02,-0.137,0.526
-0.042,0.085,0.006,-0.12,0.091,9.896,-9.9,3.75,-27.23,0.837,-0.02,-0.136,0.526
-0.015,-0.003,0.091,0.067,0.029,9.896,-10.65,4.35,-26.18,0.837,-0.02,-0.136,0.526
0.011,-0.003,0.045,0.0,0.072,9.963,-10.65,4.35,-26.18,0.837,-0.02,-0.136,0.526
-0.052,0.031,0.054,-0.101,0.005,9.901,-9.3,4.2,-27.83,0.837,-0.02,-0.136,0.527
-0.059,0.013,0.01,-0.139,0.034,9.973,-10.8,3.45,-28.13,0.837,-0.02,-0.136,0.527
0.015,-0.054,0.038,0.053,0.014,9.978,-8.7,4.35,-27.23,0.837,-0.02,-0.136,0.527
0.007,0.004,0.029,-0.062,0.048,10.011,-10.8,3.9,-27.38,0.837,-0.019,-0.136,0.527
-0.052,0.053,0.03,-0.134,-0.005,9.92,-10.05,4.95,-28.13,0.837,-0.02,-0.135,0.527
0.036,-0.006,0.087,-0.024,0.062,9.925,-9.9,5.1,-26.93,0.836,-0.019,-0.135,0.528
-0.013,0.044,-0.001,-0.005,0.081,9.958,-9.3,4.95,-27.83,0.836,-0.02,-0.135,0.528
-0.075,0.053,-0.05,-0.201,0.019,9.968,-10.05,4.65,-27.83,0.837,-0.02,-0.135,0.527
-0.008,-0.0,0.01,0.029,0.072,9.915,-10.05,4.65,-27.83,0.837,-0.02,-0.135,0.528
-0.035,0.032,-0.001,-0.019,0.101,9.906,-10.65,4.35,-26.93,0.837,-0.02,-0.135,0.528
0.008,0.041,0.034,-0.029,0.129,9.982,-11.4,4.35,-28.43,0.836,-0.02,-0.134,0.528
0.022,-0.034,0.011,0.062,0.057,9.958,-11.4,4.35,-28.43,0.836,-0.019,-0.134,0.528
-0.04,0.027,-0.019,-0.101,0.086,9.949,-10.8,3.9,-28.13,0.836,-0.019,-0.134,0.528
-0.011,0.014,0.019,-0.101,0.086,9.858,-10.05,4.2,-27.83,0.836,-0.019,-0.134,0.528
